label	addr	ported_namematch	subsystem
PLAYEROUTOFLB2A_ISTRAT	$0ba64b	True	ported
PLAYERTOCSLOW_ISTRAT	$0baace	True	ported
PLAYERCRED_STRAT	$0bb6ec	True	ported
PLAYERINTEXIT_STRAT	$0bc546	True	ported
PLAYERTOMIDDLE1_SROU_L	$0baaef	True	ported
PLAYERTUNNELTOONPLANET_ISTRAT	$0b8810	True	ported
PLAYERONPLANET_ISTRAT	$0bbb05	True	ported
PLAYERINLTUNNEL_ISTRAT	$0bc1e0	True	ported
PLAYERCLEAREARTH_STRAT	$0b97ae	True	ported
PLAYERCHASE2_STRAT	$0ba10e	True	ported
PLAYERWARP_STRAT	$0ba28a	True	ported
PLAYERINMTUNNEL_ISTRAT	$0bc10e	True	ported
PLAYERINSTUNNEL_ISTRAT	$0bc03c	True	ported
PLAYERCRED_ISTRAT	$0bb568	True	ported
PLAYERINLTEXIT_ISTRAT	$0bc530	True	ported
PLAYERINTUNNEL_ISTRAT	$0bc299	True	ported
PLAYERWARP1_STRAT	$0ba491	True	ported
PLAYERCLEARTURN2_INIT	$0b9e04	True	ported
PLAYER_STRATEGIES	$0babd6	True	structural
PLAYEREXITBASE_ISTRAT	$0b8ec1	True	ported
PLAYERINSPACE_ISTRAT	$0bb884	True	ported
PLAYEREXITBASEWAIT_STRAT	$0b902d	True	ported
PLAYERCLEAREARTH2_STRAT	$0b9750	True	ported
PLAYERCLEARCHASE_ISTRAT	$0b9f39	True	ported
PLAYERWARP2_STRAT	$0ba510	True	ported
PLAYERESCAPENUCLEUS_CONT	$0b9506	True	ported
PLAYERFIRE_SROU	$0bdf67	True	ported
PLAYERWARP_ISTRAT	$0ba231	True	ported
PLAYERCLEAREARTH_ISTRAT	$0b9785	True	ported
PLAYERWASHENT_STRAT	$0baa94	True	ported
PLAYERTURN180_STRAT	$0bc820	True	ported
PLAYEREXITBASEFOLLOW_STRAT	$0b90d7	True	ported
PLAYERDIVE_STRAT	$0b9e8c	True	ported
PLAYERINTOCOCK_STRAT	$0bc8b5	True	ported
PLAYERTOMIDDLE4_SROU_L	$0bab19	True	ported
PLAYERINCOLONY_ISTRAT	$0bc570	True	ported
PLAYERCLEARCOLONY_ISTRAT	$0baa24	True	ported
PLAYERESCAPENUCLEUS_ISTRAT	$0b9440	True	ported
PLAYERINNUCLEUS_ISTRAT	$0bc69b	True	ported
PLAYERCLEARBRIDGE2_INIT	$0b93fc	True	ported
PLAYERCLEARBRIDGE3_INIT	$0b93fc	True	ported
PLAYERUNDER2_INIT	$0ba1e9	True	ported
PLAYERCLEAREARTH2_ISTRAT	$0b972e	True	ported
PLAYERSTRAIGHT_STRAT	$0bb71b	True	ported
PLAYERSPEEDUP_ISTRAT	$0bc7d0	True	ported
PLAYEREXITBASEGO_STRAT	$0b9081	True	ported
PLAYERWARPOUT_STRAT	$0b8aa8	True	ported
PLAYERCLEARSHIP_STRAT	$0b9909	True	ported
PLAYERDEAD_STRAT	$0be416	True	ported
PLAYERWARP1_INIT	$0ba458	True	ported
PLAYERINTOLB1A_STRAT	$0b9271	True	ported
PLAYERWARP2_INIT	$0ba503	True	ported
PLAYERTURN180_CONT	$0bc87c	True	ported
PLAYERINSIDESPACEFLYIN_ISTRAT	$0b8357	True	ported
PLAYERPLANETFLYIN_ISTRAT	$0b84c4	True	ported
PLAYERSPACEFLYIN_ISTRAT	$0b8226	True	ported
PLAYERDIVEGND_ISTRAT	$0b8d1a	True	ported
